TappingTechniques  ,Month ,Tree,GumYield.gm
T1,January,Tree1,0.7
T2,January ,Tree1,12.7
T3,January,Tree1,0
T4,January,Tree1,22.8
T5,January,Tree1,16.8
T6,January,Tree1,20.8
T7,January,Tree1,16
T8,January,Tree1,0
T1,February,Tree1,0
T2,February ,Tree1,32.3
T3,February,Tree1,1.2
T4,February,Tree1,81.6
T5,February,Tree1,35.9
T6,February,Tree1,46.2
T7,February,Tree1,4.7
T8,February,Tree1,0
T1,March,Tree1,2.1
T2,March,Tree1,30.9
T3,March,Tree1,0
T4,March,Tree1,81.3
T5,March,Tree1,9
T6,March,Tree1,42.5
T7,March,Tree1,0
T8,March,Tree1,1.4
T1,April,Tree1,0
T2,April,Tree1,12.8
T3,April,Tree1,2.7
T4,April,Tree1,65.4
T5,April,Tree1,1.1
T6,April,Tree1,39
T7,April,Tree1,0
T8,April,Tree1,0
T1,May,Tree1,0
T2,May,Tree1,17.5
T3,May,Tree1,3.3
T4,May,Tree1,84.3
T5,May,Tree1,13.4
T6,May,Tree1,117.2
T7,May,Tree1,0
T8,May,Tree1,0
T1,June,Tree1,0
T2,June,Tree1,12.9
T3,June,Tree1,0
T4,June,Tree1,67.1
T5,June,Tree1,0
T6,June,Tree1,62.8
T7,June,Tree1,3.6
T8,June,Tree1,0
T1,July,Tree1,0
T2,July,Tree1,32.1
T3,July,Tree1,4.7
T4,July,Tree1,26.2
T5,July,Tree1,0
T6,July,Tree1,0
T7,July,Tree1,0
T8,July,Tree1,0
T1,August,Tree1,0
T2,August,Tree1,7.8
T3,August,Tree1,0
T4,August,Tree1,11.1
T5,August,Tree1,10.6
T6,August,Tree1,9.2
T7,August,Tree1,0
T8,August,Tree1,0
T1,September,Tree1,0
T2,September,Tree1,14.6
T3,September,Tree1,8
T4,September,Tree1,7.6
T5,September,Tree1,0
T6,September,Tree1,3.9
T7,September,Tree1,0
T8,September,Tree1,0
T1,October,Tree1,0
T2,October,Tree1,0
T3,October,Tree1,0
T4,October,Tree1,0
T5,October,Tree1,0
T6,October,Tree1,0
T7,October,Tree1,0
T8,October,Tree1,0
T1,November,Tree1,9.1
T2,November,Tree1,22.9
T3,November,Tree1,7.4
T4,November,Tree1,33
T5,November,Tree1,6
T6,November,Tree1,31.4
T7,November,Tree1,1.3
T8,November,Tree1,0
T1,December,Tree1,5.9
T2,December,Tree1,9.8
T3,December,Tree1,2.1
T4,December,Tree1,9.4
T5,December,Tree1,0
T6,December,Tree1,21.3
T7,December,Tree1,3.6
T8,December,Tree1,2.2
T1,January,Tree2,9.2
T2,January ,Tree2,8.7
T3,January,Tree2,1.6
T4,January,Tree2,0
T5,January,Tree2,16.1
T6,January,Tree2,29
T7,January,Tree2,27.8
T8,January,Tree2,40.8
T1,February,Tree2,5.1
T2,February ,Tree2,24
T3,February,Tree2,12.4
T4,February,Tree2,0
T5,February,Tree2,15.4
T6,February,Tree2,20.9
T7,February,Tree2,43.1
T8,February,Tree2,27.8
T1,March,Tree2,0
T2,March,Tree2,32.4
T3,March,Tree2,20
T4,March,Tree2,151.2
T5,March,Tree2,0
T6,March,Tree2,44.4
T7,March,Tree2,11.9
T8,March,Tree2,15.4
T1,April,Tree2,18.3
T2,April,Tree2,68.7
T3,April,Tree2,10.4
T4,April,Tree2,87.5
T5,April,Tree2,0
T6,April,Tree2,44.6
T7,April,Tree2,21.5
T8,April,Tree2,14.3
T1,May,Tree2,8.4
T2,May,Tree2,67.1
T3,May,Tree2,10.3
T4,May,Tree2,169.9
T5,May,Tree2,0
T6,May,Tree2,29.9
T7,May,Tree2,31.2
T8,May,Tree2,8.3
T1,June,Tree2,2.6
T2,June,Tree2,3.4
T3,June,Tree2,1.8
T4,June,Tree2,11.2
T5,June,Tree2,0
T6,June,Tree2,63.2
T7,June,Tree2,10.2
T8,June,Tree2,0
T1,July,Tree2,0
T2,July,Tree2,8.1
T3,July,Tree2,0
T4,July,Tree2,0
T5,July,Tree2,0
T6,July,Tree2,36.2
T7,July,Tree2,5.3
T8,July,Tree2,0
T1,August,Tree2,4.2
T2,August,Tree2,2.7
T3,August,Tree2,3.5
T4,August,Tree2,2.3
T5,August,Tree2,0
T6,August,Tree2,0
T7,August,Tree2,4.1
T8,August,Tree2,0
T1,September,Tree2,4.3
T2,September,Tree2,4.2
T3,September,Tree2,0
T4,September,Tree2,0
T5,September,Tree2,0
T6,September,Tree2,0
T7,September,Tree2,5
T8,September,Tree2,0
T1,October,Tree2,0
T2,October,Tree2,0
T3,October,Tree2,0
T4,October,Tree2,0
T5,October,Tree2,0
T6,October,Tree2,0
T7,October,Tree2,2
T8,October,Tree2,0
T1,November,Tree2,3.7
T2,November,Tree2,23.5
T3,November,Tree2,0
T4,November,Tree2,0
T5,November,Tree2,0
T6,November,Tree2,32.7
T7,November,Tree2,33.4
T8,November,Tree2,22
T1,December,Tree2,4.7
T2,December,Tree2,0
T3,December,Tree2,2.9
T4,December,Tree2,16.1
T5,December,Tree2,0
T6,December,Tree2,30
T7,December,Tree2,17.6
T8,December,Tree2,8.2
T1,January,Tree3,0
T2,January ,Tree3,0.6
T3,January,Tree3,13.9
T4,January,Tree3,13.8
T5,January,Tree3,5.9
T6,January,Tree3,39.2
T7,January,Tree3,26.6
T8,January,Tree3,45.8
T1,February,Tree3,0
T2,February ,Tree3,4.4
T3,February,Tree3,12.4
T4,February,Tree3,12.2
T5,February,Tree3,4.7
T6,February,Tree3,19.7
T7,February,Tree3,10.9
T8,February,Tree3,135.6
T1,March,Tree3,0
T2,March,Tree3,2.7
T3,March,Tree3,11.4
T4,March,Tree3,20.7
T5,March,Tree3,0
T6,March,Tree3,12.4
T7,March,Tree3,35.6
T8,March,Tree3,43.5
T1,April,Tree3,2.8
T2,April,Tree3,20
T3,April,Tree3,6.7
T4,April,Tree3,48.1
T5,April,Tree3,0
T6,April,Tree3,48.8
T7,April,Tree3,0
T8,April,Tree3,9.3
T1,May,Tree3,0
T2,May,Tree3,23.9
T3,May,Tree3,13.4
T4,May,Tree3,111.1
T5,May,Tree3,12.9
T6,May,Tree3,42.5
T7,May,Tree3,0
T8,May,Tree3,8.4
T1,June,Tree3,0
T2,June,Tree3,13.5
T3,June,Tree3,0
T4,June,Tree3,46.6
T5,June,Tree3,5.9
T6,June,Tree3,4.2
T7,June,Tree3,3.2
T8,June,Tree3,2.6
T1,July,Tree3,0
T2,July,Tree3,6.5
T3,July,Tree3,0
T4,July,Tree3,59.2
T5,July,Tree3,4.3
T6,July,Tree3,0
T7,July,Tree3,0
T8,July,Tree3,0
T1,August,Tree3,0
T2,August,Tree3,6.5
T3,August,Tree3,0
T4,August,Tree3,16.1
T5,August,Tree3,5.6
T6,August,Tree3,0
T7,August,Tree3,0
T8,August,Tree3,0
T1,September,Tree3,0
T2,September,Tree3,0
T3,September,Tree3,0
T4,September,Tree3,8.9
T5,September,Tree3,4.9
T6,September,Tree3,0
T7,September,Tree3,4.2
T8,September,Tree3,0
T1,October,Tree3,0
T2,October,Tree3,0
T3,October,Tree3,0
T4,October,Tree3,0
T5,October,Tree3,2.8
T6,October,Tree3,0
T7,October,Tree3,0
T8,October,Tree3,0
T1,November,Tree3,0
T2,November,Tree3,8.7
T3,November,Tree3,1
T4,November,Tree3,0
T5,November,Tree3,2.6
T6,November,Tree3,8.8
T7,November,Tree3,2.3
T8,November,Tree3,2.3
T1,December,Tree3,0
T2,December,Tree3,0
T3,December,Tree3,5.9
T4,December,Tree3,1.1
T5,December,Tree3,6.2
T6,December,Tree3,20.9
T7,December,Tree3,0
T8,December,Tree3,5.7
